Id,Lat.,Long.,Indirizzo,UPL,Quartiere,Circoscrizione,Coordinate,Proponente,Titolo proposta,Rappresentante,Stato di avanzamento,Patto di Collaborazione sottoscritto,Foto,googlemaps ,geouri
015,38.10264453,13.35283144,"Piazza Monte Grappa, 2° lotto ",Montegrappa,Montegrappa - S. Rosalia,IV,"38.10264453278173, 13.35283143597957",Società,Arredi e/o giostrine per p.zza Monte Grappa 2°lotto,Nautilus Aviation S.p.a.,In attesa di integrazione,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1026445327817,13.3528314359795","geo:38.1026445327817,13.3528314359795"
016,38.11567656,13.36147085,Piazza Vigliena,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11567656182383, 13.361470848786833",Società,Illuminazione artistica 4 Canti.,Noon S.r.l.,In attesa di integrazione,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1156765618238,13.3614708487868","geo:38.1156765618238,13.3614708487868"
017,38.09636481,13.42950606,bivio di Acqua dei Corsari e via Galletti,Roccella Acqua dei Corsari,Settecannoli,II,"38.09636481279477, 13.429506062043972",Associazione,Una panchina per riflettere......,Amici di Cristina,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.0963648127947,13.4295060620439","geo:38.0963648127947,13.4295060620439"
018,38.10918811,13.35712852,"aiuola Corso Tukory 193, aiuola corso Tukory 209, villa Vito Colonna, Corso Tukory",Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.109188107034896, 13.357128522109289",Associazione,La via della felicità per Palermo pulita e felice,La via della Felicità Italia Aps ,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1091881070348,13.3571285221092","geo:38.1091881070348,13.3571285221092"
019,38.12151652,13.35310176,Piazza San Francesco di Paola,S.Francesco di Paola - Terrasanta,Politeama,VIII,"38.121516522463395, 13.353101760276424",Società,Parco delle Magnolie di P.zza San Francesco di Paola,Premiata Enoteca Butticè srl,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1215165224633,13.3531017602764","geo:38.1215165224633,13.3531017602764"
020,38.11610842,13.36491743,piazza Borsa,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11610841754312, 13.364917425686007",Persona fisica,Realizzazione a p.zza degli artisti in p.zza Borsa,,In attesa di integrazione,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1161084175431,13.364917425686","geo:38.1161084175431,13.364917425686"
021,38.11722193,13.34136697,Presunta piazza Sylvia Rivera,Zisa - Ingastone,Zisa,V,"38.117221925817994, 13.341366966645928",Associazione,Azziziamo la Piazzetta,Legambiente Nazionale APS -Rete Associativa ET ,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1172219258179,13.3413669666459","geo:38.1172219258179,13.3413669666459"
022,38.11618524,13.35929735,"Asse viario via Candelai, via del Celso, discesa Santamarina",Monte di Pietà o Seralcadi,Palazzo Reale - Monte di Pietà,I,"38.11618523968304, 13.359297346208086",Società,"Progetto riqualificazione Santa Marina, asse via del Celso, via Candelai.",Santamarina Luxury Suite srl ,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.116185239683,13.359297346208","geo:38.116185239683,13.359297346208"
023,38.13185603,13.35037215,Via Marchese Ugo nei pressi della chiesa di Santa Rosalia,Notarbartolo - Giardino Inglese,Libertà,VIII,"38.13185602744878, 13.350372149436483",Associazione,Decorazione 2 panchine,Inner Wheel Club Palermo Mondello,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1318560274487,13.3503721494364","geo:38.1318560274487,13.3503721494364"
024,38.11592717,13.36900961,"via Alloro, 95",Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11592716892017, 13.369009607665268",Associazione,Casa della Partecipazione ,Neu (Noi) Spazio al Lavoro APS,Patto stipulato,Patto di collaborazione Casa della Partecipazione in via Alloro_FIRMA DIGITALE (1) (1).pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1159271689201,13.3690096076652","geo:38.1159271689201,13.3690096076652"
025,38.13785324,13.35374109,"via Sampolo,  confluenza angolo via Arimondi, adiacente la Stazione di Servizio Eni.",Marchese di Villabianca - Sampolo,Libertà,VIII,"38.13785323555046, 13.353741094061093",Associazione,Area pubblica in via Sampolo,Presidio di cittadinanza APS ,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1378532355504,13.353741094061","geo:38.1378532355504,13.353741094061"
